cumulative_reward,cral,cr,successful_landing,boundary_counter,landing_attempts,movement_ratio
-0.2,0.0,0.0,True,0,1,0.023255813953488372
7.000000000000001,0.044334975369458074,0.044334975369458074,True,0,1,0.023076923076923078
0.0,0.0,0.0,True,0,1,0.014285714285714285
-0.4,0.0,0.0,True,0,1,0.04672897196261682
-0.2,0.0,0.0,True,0,1,0.04
0.0,0.0,0.0,True,0,1,0.019230769230769232
0.40000000000000013,0.0031055900621117516,0.0031055900621117516,True,0,1,0.052083333333333336
14.200000000000001,0.06000000000000005,0.06000000000000005,True,0,1,0.022222222222222223
-1.8000000000000005,0.0,0.0,True,0,2,0.11818181818181818
0.7,0.013953488372092981,0.013953488372092981,True,0,2,0.1016949152542373
11.9,0.05882352941176472,0.05882352941176472,True,0,1,0.01639344262295082
0.0,0.0,0.0,True,0,1,0.010869565217391304
-1.0999999999999999,0.0,0.0,True,0,1,0.096
0.0,0.0,0.0,True,0,1,0.008264462809917356
4.400000000000002,0.03076923076923077,0.03076923076923077,True,0,1,0.04065040650406504
0.0,0.0,0.0,True,0,1,0.008064516129032258
0.7000000000000001,0.003676470588235281,0.003676470588235281,True,0,1,0.019230769230769232
4.3000000000000025,0.020618556701030966,0.020618556701030966,True,0,1,0.09230769230769231
11.9,0.05882352941176472,0.05882352941176472,True,0,1,0.014388489208633094
0.0,0.0,0.0,True,0,1,0.006666666666666667
1.0999999999999996,0.006451612903225823,0.006451612903225823,True,0,1,0.06666666666666667
2.3000000000000003,0.008522727272727293,0.008522727272727293,True,0,1,0.014598540145985401
10.200000000000001,0.049056603773584895,0.049056603773584895,True,0,1,0.028037383177570093
0.0,0.0,0.0,True,0,1,0.006711409395973154
-113.09999999999998,0.0,0.03482587064676612,False,5,14,1.0
-0.5,0.0,0.0,True,0,1,0.0425531914893617
-0.30000000000000004,0.0,0.0,True,0,1,0.038461538461538464
0.0,0.0,0.0,True,0,1,0.0078125
-0.1,0.0,0.0,True,0,1,0.014925373134328358
-6.499999999999998,0.0,0.0,True,1,5,0.2571428571428571
-0.1,0.0,0.0,True,0,1,0.03773584905660377
-10.899999999999993,0.0,0.0,True,5,7,0.34375
15.3,0.09187279151943462,0.09187279151943462,True,0,5,0.5245901639344263
-0.1,0.0,0.0,True,0,1,0.027777777777777776
0.0,0.0,0.0,True,0,1,0.015625
-15.099999999999984,0.0,0.0,True,5,12,0.37333333333333335
-9.299999999999995,0.0,0.0,True,4,6,0.4878048780487805
11.800000000000002,0.0395778364116095,0.0395778364116095,True,0,1,0.021739130434782608
-4.999999999999997,0.0,0.0,True,1,3,0.4925373134328358
-0.6,0.0,0.0,True,0,1,0.05384615384615385
14.100000000000005,0.06666666666666665,0.06666666666666665,True,0,3,0.3076923076923077
-0.1,0.0,0.0,True,0,1,0.034482758620689655
0.30000000000000016,0.0031645569620253333,0.0031645569620253333,True,0,1,0.10714285714285714
-9.899999999999991,0.0,0.0,True,0,9,0.37410071942446044
0.0,0.0,0.0,True,0,1,0.009259259259259259
-26.90000000000005,0.0,0.0,True,12,18,0.9230769230769231
1.5,0.005813953488372103,0.005813953488372103,True,0,1,0.028169014084507043
0.0,0.0,0.0,True,0,1,0.02
19.199999999999996,0.17341040462427748,0.17341040462427748,True,0,6,0.2375
1.6999999999999997,0.008426966292134797,0.008426966292134797,True,0,1,0.12698412698412698
-0.1,0.0,0.0,True,0,1,0.02666666666666667
26.399999999999988,0.13011152416356875,0.13011152416356875,True,0,2,0.1
-6.799999999999999,0.043824701195219085,0.043824701195219085,True,6,12,0.5612244897959183
-2.800000000000001,0.0,0.0,True,0,1,0.5
0.0,0.0,0.0,True,0,1,0.008620689655172414
-3.3,0.0,0.0,True,1,4,0.10869565217391304
-2.1,0.0,0.0,True,1,2,0.1
-10.099999999999994,0.0357142857142857,0.0357142857142857,True,7,11,0.4247787610619469
-0.1,0.0,0.0,True,0,1,0.016260162601626018
-4.399999999999999,0.0,0.0,True,0,5,0.14685314685314685
-0.2,0.0,0.0,True,0,1,0.034482758620689655
-8.899999999999991,0.0,0.0,True,0,8,0.3779527559055118
6.700000000000002,0.032258064516129004,0.032258064516129004,True,0,2,0.09302325581395349
10.200000000000001,0.05327868852459017,0.05327868852459017,True,0,1,0.03571428571428571
5.300000000000002,0.021341463414634165,0.021341463414634165,True,0,1,0.06666666666666667
0.0,0.0,0.0,True,0,1,0.0136986301369863
-0.8999999999999999,0.0,0.0,True,0,2,0.04938271604938271
-99.8,0.0,0.08629441624365486,False,0,13,1.0
-0.2,0.0,0.0,True,0,1,0.03896103896103896
-0.2,0.0,0.0,True,0,1,0.02727272727272727
-9.099999999999998,0.0,0.0,True,2,10,0.2549019607843137
-0.30000000000000004,0.0,0.0,True,0,1,0.037383177570093455
9.500000000000002,0.05769230769230771,0.05769230769230771,True,0,1,0.017094017094017096
2.1000000000000014,0.025906735751295318,0.025906735751295318,True,4,3,0.16216216216216217
-101.70000000000002,0.0,0.1336898395721925,False,14,32,1.0
5.300000000000001,0.034782608695652195,0.034782608695652195,True,1,1,0.06818181818181818
-97.49999999999997,0.0,0.1758793969849246,False,13,13,1.0
-120.80000000000001,0.0,0.11059907834101379,False,7,35,1.0
-14.999999999999991,0.0,0.0,True,9,10,0.4574468085106383
-0.1,0.0,0.0,True,0,1,0.0273972602739726
0.6000000000000001,0.0027932960893854997,0.0027932960893854997,True,0,1,0.031914893617021274
9.500000000000002,0.03448275862068961,0.03448275862068961,True,0,1,0.020202020202020204
0.0,0.0,0.0,True,0,1,0.013157894736842105
-0.7,0.0,0.0,True,0,1,0.08888888888888889
-0.30000000000000004,0.0,0.0,True,0,1,0.028169014084507043
-0.2,0.0,0.0,True,0,1,0.04477611940298507
-136.00000000000006,0.0,0.008130081300813052,False,14,29,1.0
-11.999999999999984,0.004444444444444473,0.004444444444444473,True,2,9,0.8625
0.0,0.0,0.0,True,0,1,0.008333333333333333
2.6999999999999997,0.012084592145015116,0.012084592145015116,True,0,1,0.04411764705882353
-0.4,0.0,0.0,True,0,1,0.06493506493506493
0.0,0.0,0.0,True,0,1,0.014705882352941176
10.200000000000001,0.038123167155425186,0.038123167155425186,True,0,1,0.026785714285714284
-0.2,0.0,0.0,True,0,1,0.041666666666666664
0.0,0.0,0.0,True,0,1,0.015384615384615385
-9.299999999999994,0.0,0.0,True,2,9,0.34
-0.1,0.0,0.0,True,0,1,0.013422818791946308
-0.30000000000000004,0.0,0.0,True,0,1,0.031496062992125984
-117.69999999999999,0.0,0.005813953488372103,False,6,15,1.0
0.0,0.0,0.0,True,0,1,0.008620689655172414
0.0,0.0,0.0,True,0,1,0.008547008547008548
-5.699999999999997,0.0,0.0,True,1,5,0.24347826086956523
-3.899999999999995,0.06719367588932801,0.06719367588932801,True,2,12,0.8521739130434782
2.399999999999999,0.038461538461538436,0.038461538461538436,True,1,3,0.22549019607843138
0.0,0.0,0.0,True,0,1,0.014285714285714285
8.000000000000004,0.16356877323420072,0.16356877323420072,True,11,21,0.6796875
-120.2,0.0,0.0,False,6,14,1.0
3.4,0.01388888888888884,0.01388888888888884,True,0,1,0.05982905982905983
-0.1,0.0,0.0,True,0,1,0.021505376344086023
-0.1,0.0,0.0,True,0,1,0.013333333333333334
-1.1,0.0,0.0,True,0,2,0.0759493670886076
6.400000000000006,0.03384615384615386,0.03384615384615386,True,0,2,0.12751677852348994
0.0,0.0,0.0,True,0,1,0.017241379310344827
-121.29999999999998,0.0,0.1597633136094675,False,21,27,1.0
-0.1,0.0,0.0,True,0,1,0.021505376344086023
-4.0,0.0,0.0,True,3,3,0.13253012048192772
-4.2,0.0326797385620915,0.0326797385620915,True,3,7,0.23387096774193547
-0.1,0.0,0.0,True,0,1,0.02040816326530612
-0.30000000000000004,0.0,0.0,True,0,1,0.043478260869565216
-0.4,0.0,0.0,True,0,1,0.08620689655172414
-0.4,0.0,0.0,True,0,1,0.04716981132075472
-128.89999999999998,0.0,0.0,False,16,19,1.0
-122.89999999999996,0.0,0.010714285714285676,False,10,15,1.0
13.700000000000006,0.06476683937823835,0.06476683937823835,True,1,5,0.35051546391752575
-74.9,0.0,0.16955017301038067,False,7,7,1.0
0.0,0.0,0.0,True,0,1,0.006993006993006993
-0.4,0.0,0.0,True,0,1,0.07575757575757576
-8.299999999999994,0.0,0.0,True,0,8,0.3442622950819672
0.0,0.0,0.0,True,0,1,0.011627906976744186
-10.499999999999984,0.036036036036036,0.036036036036036,True,4,14,0.7816091954022989
7.2000000000000215,0.29518072289156627,0.29518072289156627,True,8,26,0.9461538461538461
25.099999999999955,0.14141414141414144,0.14141414141414144,True,0,7,0.5050505050505051
-111.8,0.0,0.0,False,4,7,1.0
-110.79999999999998,0.0,0.026936026936026924,False,4,14,1.0
-124.30000000000001,0.0,0.05092592592592593,False,10,26,1.0
11.700000000000001,0.03749999999999998,0.03749999999999998,True,0,1,0.039603960396039604
-4.499999999999996,0.06227106227106227,0.06227106227106227,True,11,13,0.3492063492063492
-0.2,0.0,0.0,True,0,1,0.022727272727272728
0.0,0.0,0.0,True,0,1,0.014492753623188406
11.0,0.04491017964071853,0.04491017964071853,True,0,2,0.060240963855421686
-105.19999999999999,0.0,0.06857142857142862,False,0,13,1.0
3.9,0.01661129568106312,0.01661129568106312,True,0,1,0.04
3.0,0.013698630136986356,0.013698630136986356,True,0,1,0.03125
0.0,0.0,0.0,True,0,1,0.010526315789473684
-7.499999999999999,0.0,0.0,True,2,7,0.417910447761194
18.399999999999956,0.14093959731543626,0.14093959731543626,True,3,12,0.8214285714285714
-3.499999999999995,0.06451612903225812,0.06451612903225812,True,10,11,0.9836065573770492
0.0,0.0,0.0,True,0,1,0.012658227848101266
-105.89999999999999,0.0,0.1652542372881356,False,15,25,1.0
8.600000000000001,0.05913978494623651,0.05913978494623651,True,0,1,0.03296703296703297
-135.30000000000004,0.0,0.0,False,12,24,1.0
